approval_required_action_rate,artifact_grounding,attempt,calculation_accuracy,case_id,editable_copy_correctness,forbidden_tool_block_rate,kpi_candidate_recall,kpi_citation_precision,kpi_field_f1,layer,passed,playbook_rule_grounding,redline_scope_correctness,required_column_completion,row_citation_precision,score,source_contract_immutability,table_cell_accuracy,table_schema_correctness,tool_argument_accuracy,tool_selection_accuracy,tool_sequence_validity,workflow_completion
1.0,1.0,1,1.0,dry-run-cuad-contract:tools:kpi:82ac4dd086,1.0,1.0,0.6666666666666666,1.0,1.0,tools,True,1.0,1.0,1.0,1.0,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,2,1.0,dry-run-cuad-contract:tools:kpi:82ac4dd086,1.0,1.0,0.6666666666666666,1.0,1.0,tools,True,1.0,1.0,1.0,1.0,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,3,1.0,dry-run-cuad-contract:tools:kpi:82ac4dd086,1.0,1.0,0.6666666666666666,1.0,1.0,tools,True,1.0,1.0,1.0,1.0,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0
